A00	COLERA
Q10	ANOFTALMIA, MICROFTALMIA Y MACROFTALMIA
Q11	MALFORMACIONES CONGENITAS DEL CRISTALINO
Q12	MALFORMACIONES CONGENITAS DEL SEGMENTO ANTERIOR DEL OJO
Q13	MALFORMACIONES CONGENITAS DEL SEGMENTO POSTERIOR DEL OJO
Q14	OTRAS MALFORMACIONES CONGENITAS DEL OJO
Q15	MALFORMACIONES CONGENITAS DEL OIDO QUE CAUSAN ALTERACION DE LA AUDICION
Q16	OTRAS MALFORMACIONES CONGENITAS DEL OIDO
Q17	OTRAS MALFORMACIONES CONGENITAS DE LA CARA Y DEL CUELLO
Q18	MALFORMACIONES CONGENITAS DE LAS CAMARAS CARDIACAS Y SUS CONEXIONES
Q20	MALFORMACIONES CONGENITAS DE LOS TABIQUES CARDIACOS
Q21	MALFORMACIONES CONGENITAS DE LAS VALVULAS PULMONAR Y TRICUSPIDE
Q22	MALFORMACIONES CONGENITAS DE LAS VALVULAS AORTICA Y MITRAL
Q23	OTRAS MALFORMACIONES CONGENITAS DEL CORAZON
Q24	MALFORMACIONES CONGENITAS DE LAS GRANDES ARTERIAS
Q25	MALFORMACIONES CONGENITAS DE LAS GRANDES VENAS
Q26	OTRAS MALFORMACIONES CONGENITAS DEL SISTEMA VASCULAR PERIFERICO
Q27	OTRAS MALFORMACIONES CONGENITAS DEL SISTEMA CIRCULATORIO
Q28	MALFORMACIONES CONGENITAS DE LA NARIZ
Q30	MALFORMACIONES CONGENITAS DE LA LARINGE
Q31	MALFORMACIONES CONGENITAS DE LA TRAQUEA Y DE LOS BRONQUIOS
Q32	MALFORMACIONES CONGENITAS DEL PULMON
Q33	OTRAS MALFORMACIONES CONGENITAS DEL SISTEMA RESPIRATORIO
Q34	FISURA DEL PALADAR
Q35	LABIO LEPORINO
Q36	FISURA DEL PALADAR CON LABIO LEPORINO
Q37	OTRAS MALFORMACIONES CONGENITAS DE LA LENGUA, DE LA BOCA Y DE LA FARINGE
Q38	MALFORMACIONES CONGENITAS DEL ESOFAGO
Q39	OTRAS MALFORMACIONES CONGENITAS DE LA PARTE SUPERIOR DEL TUBO DIGESTIVO
Q40	AUSENCIA, ATRESIA Y ESTENOSIS CONGENITA DEL INTESTINO DELGADO
Q41	AUSENCIA, ATRESIA Y ESTENOSIS CONGENITA DEL INTESTINO GRUESO
Q42	OTRAS MALFORMACIONES CONGENITAS DEL INTESTINO
Q43	MALFORMACIONES CONGENITAS DE LA VESICULA BILIAR, DE LOS CONDUCTOS BILIARES Y DEL HIGADO
Q44	OTRAS MALFORMACIONES CONGENITAS DEL SISTEMA DIGESTIVO
Q45	MALFORMACIONES CONGENITAS DE LOS OVARIOS, DE LAS TROMPAS DE FALOPIO Y DE LOS LIGAMENTOS ANCHOS
Q50	MALFORMACIONES CONGENITAS DEL UTERO Y DEL CUELLO UTERINO
Q51	OTRAS MALFORMACIONES CONGENITAS DE LOS ORGANOS GENITALES FENEMINOS
Q52	TESTICULO NO DESCENDIDO
Q53	HIPOSPADIAS
Q54	OTRAS MALFORMACIONES CONGENITAS DE LOS ORGANOS GENITALES MASCULINOS
Q55	SEXO INDETERMINADO Y SEUDOHERMAFRODITISMO
Q56	AGENESIA RENAL Y OTRAS MALFORMACIONES HIPOPLASICAS DEL RINON
Q60	ENFERMEDAD QUISTICA DEL RINON
Q61	DEFECTOS OBSTRUCTIVOS CONGENITOS DE LA PELVIS RENAL Y MALFORMACIONES CONGENITAS DEL URETER
Q62	OTRAS MALFORMACIONES CONGENITAS DEL RIÑON
Q63	OTRAS MALFORMACIONES CONGENITAS DEL SISTEMA URINARIO
Q64	DEFORMIDADES CONGENITAS DE LA CADERA
Q65	DEFORMIDADES CONGENITAS DE LOS PIES
Q66	DEFORMIDADES OSTEOMUSCULARES CONGENITAS DE LA CABEZA, DE LA CARA, DE LA COLUMNA VERTEBRAL Y DEL TORAX
Q67	OTRAS DEFORMIDADES OSTEOMUSCULARES CONGENITAS
Q68	POLIDACTILIA
Q69	SINDACTILIA
Q70	DEFECTOS POR REDUCCION DEL MIEMBRO SUPERIOR
Q71	DEFECTOS POR REDUCCION DEL MIEMBRO INFERIOR
Q72	DEFECTOS POR REDUCCION DE MIEMBRO NO ESPECIFICADO
Q73	OTRAS ANOMALIAS CONGENITAS DEL (DE LOS) MIEMBRO(S)
Q74	OTRAS MALFORMACIONES CONGENITAS DE LOS HUESOS DEL CRANEO Y DE LA CARA
Q75	MALFORMACIONES CONGENITAS DE LA COLUMNA VERTEBRAL Y TORAX OSEO
Q76	OSTEOCONDRODISPLASIA CON DEFECTO DEL CRECIMIENTO DE LOS HUESOS LARGOS Y DE LA COLUMNA VERTEBRAL
Q77	OTRAS OSTEOCONDRODISPLASIAS
Q78	MALFORMACIONES CONGENITAS DEL SISTEMA OSTEOMUSCULAR, NO CLASIFICADAS EN OTRA PARTE
Q79	ICTIOSIS CONGENITA
Q80	EPIDERMOLISIS BULLOSA
Q81	OTRAS MALFORMACIONES CONGENITAS DE LA PIEL
Q82	MALFORMACIONES CONGENITAS DE LA MAMA
Q83	OTRAS MALFORMACIONES CONGENITAS DE LAS FANERAS
Q84	FACOMATOSIS NO CLASIFICADAS EN OTRA PARTE
Q85	SINDROMES DE MALFORMACIONES CONGENITAS DEBIDOS A CAUSAS EXOGENAS CONOCIDAS NO CLASIFICADAS EN OTRA PARTE
Q86	OTROS SINDROMES DE MALFORMACIONES CONGENITAS ESPECIFICADOS QUE AFECTAN MULTIPLES SISTEMAS
Q87	OTRAS MALFORMACIONES CONGENITAS NO CLASIFICADAS EN OTRA PARTE
Q89	SINDROME DE DOWN
Q90	SINDROME DE EDWARDS Y SINDROME DE PATAU
Q91	OTRAS TRISOMIAS Y TRISOMIAS PARCIALES DE LOS AUTOSOMAS NO CLASIFICADAS EN OTRA PARTE
Q92	MONOSOMIAS Y SUPRESIONES DE LOS AUTOSOMAS, NO CLASIFICADAS EN OTRA PARTE
Q93	REORDENAMIENTOS EQUILIBRADOS Y MARCADORES ESTRUCTURALES, NO CLASIFICADAS EN OTRA PARTE
Q95	SINDROME DE TURNER
Q96	OTRAS ANOMALIAS DE LOS CROMOSOMAS SEXUALES, CON FENOTIPO FEMENINO NO CLASIFICADAS EN OTRA PARTE
Q97	OTRAS ANOMALIAS DE LOS CROMOSOMAS SEXUALES, CON FENOTIPO MASCULINO NO CLASIFICADAS EN OTRA PARTE
Q98	OTRAS ANOMALIAS CROMOSOMICAS NO CLASIFICADAS EN OTRA PARTE
Q99	ANORMALIDADES DEL LATIDO CARDIACO
R00	SOPLOS Y OTROS SONIDOS CARDIACOS
R01	GANGRENA NO CLASIFICADA EN OTRA PARTE
R02	LECTURA DE PRESION SANGUINEA ANORMAL, SIN DIAGNOSTICO
R03	HEMORRAGIAS DE LAS VIAS RESPIRATORIAS
R04	TOS
R05	ANORMALIDADES DE LA RESPIRACION
R06	DOLOR DE GARGANTA Y EN EL PECHO
R07	OTROS SINTOMAS Y SIGNOS QUE INVOLUCRAN LOS SISTEMAS CIRCULATORIO Y RESPIRATORIO
R09	DOLOR ABDOMINAL Y PELVICO
R10	NAUSEA Y VOMITO
R11	ACIDEZ
R12	DISFAGIA
R13	FLATULENCIA Y AFECCIONES AFINES
R14	INCONTINENCIA FECAL
R15	HEPATOMEGALIA Y ESPLENOMEGALIA NO CLASIFICADAS EN OTRA PARTE
R16	ICTERICIA NO ESPECIFICADA
R17	ASCITIS
R18	OTROS SINTOMAS Y SIGNOS QUE INVOLUCRAN EL SISTEMA DIGESTIVO Y EL ABDOMEN
R19	ALTERACIONES DE LA SENSIBILIDAD CUTANEA
R20	SALPULLIDO Y OTRAS ERUPCIONES CUTANEAS NO ESPECIFICADAS
R21	TUMEFACCION, MASA O PROMINENCIA DE LA PIEL Y DEL TEJIDO SUBCUTANEO LOCALIZADO
R22	OTROS CAMBIOS EN LA PIEL
R23	MOVIMIENTOS INVOLUNTARIOS ANORMALES
R25	ANORMALIDADES DE LA MARCHA Y DE LA MOVILIDAD
R26	OTRAS FALLAS DE COORDINACION
R27	OTROS SINTOMAS Y SIGNOS QUE INVOLUCRAN LOS SISTEMAS NERVIOSO Y OSTEOMUSCULAR
R29	DOLOR ASOCIADO CON LA MICCION
R30	HEMATURIA NO ESPECIFICADA
R31	INCONTINENCIA URINARIA NO ESPECIFICADA
R32	RETENCION DE ORINA
R33	ANURIA Y OLIGURIA
R34	POLIURIA
R35	DESCARGA URETRAL
R36	OTROS SINTOMAS Y SIGNOS QUE INVOLUCRAN EL SISTEMA URINARIO
R39	SOMNOLENCIA, ESTUPOR Y COMA
R40	OTROS SINTOMAS Y SIGNOS QUE INVOLUCRAN LA FUNCION COGNOSCITIVA Y LA CONCIENCIA
R41	MAREO Y DESVANECIMIENTO
R42	TRASTORNOS DEL OLFATO Y DEL GUSTO
R43	OTROS SINTOMAS Y SIGNOS QUE INVOLUCRAN LAS SENSACIONES Y PERCEPCIONES GENERALES
R44	SINTOMAS Y SIGNOS QUE INVOLUCRAN EL ESTADO EMOCIONAL
R45	SINTOMAS Y SIGNOS QUE INVOLUCRAN LA APARIENCIA Y EL COMPORTAMIENTO
R46	ALTERACIONES DEL HABLA NO CLASIFICADAS EN OTRA PARTE
R47	DISLEXIA Y OTRAS DISFUNCIONES SIMBOLICAS NO CLASIFICADAS EN OTRA PARTE
R48	ALTERACIONES DE LA VOZ
R49	FIEBRE DE ORIGEN DESCONOCIDO
R50	CEFALEA
R51	DOLOR NO CLASIFICADAS EN OTRA PARTE
R52	MALESTAR Y FATIGA
R53	SENILIDAD
R54	SINCOPE Y COLAPSO
R55	CONVULSIONES NO CLASIFICADAS EN OTRA PARTE
R56	CHOQUE NO CLASIFICADO EN OTRA PARTE
R57	HEMORRAGIA NO CLASIFICADAS EN OTRA PARTE
R58	ADENOMEGALIA
R59	EDEMA NO CLASIFICADO EN OTRA PARTE
R60	HIPERHIDROSIS
R61	FALTA DEL DESARROLLO FISIOLOGICO NORMAL ESPERADO
R62	SINTOMAS Y SIGNOS QUE INVOLUCRAN CONCERNIENTES A LA ALIMENTACION E INGESTION DE LIQUIDOS
R63	CAQUEXIA
R64	OTROS SINTOMAS Y SIGNOS GENERALES
R68	CAUSAS DE MORBILIDAD DESCONOCIDAS Y NO ESPECIFICADAS
R69	VELOCIDAD DE ERITROSEDIMENTACION ELEVADA Y OTRAS ANORMALIDADES DE LA VISCOSIDAD DEL PLASMA
R70	ANORMALIDAD DE LOS ERITROCITOS
R71	ANORMALIDADES DE LOS LEUCOCITOS NO CLASIFICADAS EN OTRA PARTE
R72	NIVEL ELEVADO DE GLUCOSA EN SANGRE
R73	NIVEL ANORMAL DE ENZIMAS EN SUERO
R74	EVIDENCIAS DE LABORATORIO DEL VIRUS DE LA INMUNODEFICIENCIA HUMANA [VIH]
R75	OTROS HALLAZGOS INMUNOLOGICOS ANORMALES EN SUERO
R76	OTRAS ANORMALIDADES DE LAS PROTEINAS PLASMATICAS
R77	HALLAZGOS DE DROGAS Y OTRAS SUSTANCIAS QUE NORMALMENTE NO SE ENCUENTRAN EN LA SANGRE
R78	OTROS HALLAZGOS ANORMALES EN LA QUIMICA SANGUINEA
R79	PROTEINURIA AISLADA
R80	GLUCOSURIA
R81	OTROS HALLAZGOS ANORMALES EN LA ORINA
R82	HALLAZGOS ANORMALES EN EL LIQUIDO CEFALORRAQUIDEO
R83	HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS RESPIRATORIOS Y TORACICOSS
R84	HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS DIGESTIVOS Y DE LA CAVIDAD ABDOMINAL
R85	HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS GENITALES MASCULINOS
R86	HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS GENITALES FEMENINOS
R87	HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE OTROS ORGANOS, SISTEMAS Y TEJIDOS
R89	HALLAZGOS ANORMALES EN DIAGNOSTICO POR IMAGEN DEL SISTEMA NERVIOSO CENTRAL
R90	HALLAZGOS ANORMALES EN DIAGNOSTICO POR IMAGEN DEL PULMON
R91	HALLAZGOS ANORMALES EN DIAGNOSTICO POR IMAGEN DE LA MAMA
R92	HALLAZGOS ANORMALES EN DIAGNOSTICO POR IMAGEN DE OTRAS ESTRUCTURAS DEL CUERPO
R93	RESULTADOS ANORMALES DE ESTUDIOS FUNCIONALES
R94	SINDROME DE LA MUERTE SUBITA INFANTIL
R95	OTRAS MUERTES SUBITAS DE CAUSA DESCONOCIDA
R96	MUERTE SIN ASISTENCIA
R98	OTRAS CAUSAS MAL DEFINIDAS Y LAS NO ESPECIFICADAS DE MORTALIDAD
R99	TRAUMATISMO SUPERFICIAL DE LA CABEZA
S00	HERIDA DE LA CABEZA
S01	FRACTURA DE HUESOS DEL CRANEO Y DE LA CARA
S02	LUXACION, ESGUINCE Y TORCEDURA DE ARTICULACIONES Y DE LIGAMENTOS DE LA CABEZA
S03	TRAUMATISMO DE NERVIOS CRANEALES
S04	TRAUMATISMO DEL OJO Y DE LA ORBITA
S05	TRAUMATISMO INTRACRANEAL
S06	TRAUMATISMO POR APLASTAMIENTO DE LA CABEZA
S07	AMPUTACION TRAUMATICA DE PARTE DE LA CABEZA
S08	OTROS TRAUMATISMO Y LOS NO ESPECIFICADOS DE CABEZA
S09	TRAUMATISMO SUPERFICIAL DEL CUELLO
S10	HERIDA DEL CUELLO
S11	FRACTURA DEL CUELLO
S12	LUXACION, ESGUINCE Y TORCEDURA DE ARTICULACIONES Y DE LIGAMENTOS DEL CUELLO
S13	TRAUMATISMO DE LA MEDULA ESPINAL Y DE NERVIOS A NIVEL DEL CUELLO
S14	TRAUMATISMO DE VASOS SANGUINEOS A NIVEL DEL CUELLO
S15	TRAUMATISMO DE TENDON Y MUSCULOS A NIVEL DEL CUELLO
S16	TRAUMATISMO POR APLASTAMIENTO DEL CUELLO
S17	AMPUTACION TRAUMATICA A NIVEL DEL CUELLO
S18	OTROS TRAUMATISMOS Y LOS NO ESPECIFICADOS DEL CUELLO
S19	TRAUMATISMO SUPERFICIAL DEL TORAX
S20	HERIDA DEL TORAX
S21	FRACTURA DE LAS COSTILLAS, DEL ESTERNON Y DE LA COLUMNA TORACICA [DORSAL]
S22	LUXACION, ESGUINCE Y TORCEDURA DE ARTICULACIONES Y LIGAMENTOS DEL TORAX
S23	TRAUMATISMO DE NERVIOS Y DE LA MEDULA ESPINAL A NIVEL DE TORAX
S24	TRAUMATISMO DE LOS VASOS SANGUINEOS DEL TORAX
S25	TRAUMATISMO DEL CORAZON
S26	TRAUMATISMODE OTROS ORGANOS INTRATORACICOS Y DE LOS NO ESPECADOS
S27	TRAUMATISMO POR APLASTAMIENTO DEL TORAX Y AMPUTACION TRAUMATICA DE PARTE DEL TORAX
S28	OTROS TRAUMATISMOS Y LOS NO ESPECIFICADOS DEL TORAX
S29	TRAUMATISMO SUPERFICIAL DEL ABDOMEN, DE LA REGION LUMBOSACRA Y DE LA PELVIS
S30	HERIDA DEL ABDOMEN, DE LA REGION LUMBOSACRA Y DE LA PELVIS
S31	FRACTURA DE LA COLUMNA LUMBAR Y DE LA PELVIS
S32	LUXACION, ESGUINCE Y TORCEDURA DE ARTICULACIONES Y LIGAMENTOS DE LA COLUMNA LUMBAR Y DE LA PELVIS
S33	TRAUMATISMODE LOS NERVIOS Y DE LA MEDULA ESPINAL LUMBAR, A NIVEL DEL ABDOMEN, DE LA REGION LUMBOSACRA Y DE LA PELVIS
S34	TRAUMATISMO DE LOS VASOS SANGUINEOS A NIVEL DEL ABDOMEN, DE LA REGION LUMBOSACRA Y DE LA PELVIS
S35	TRAUMATISMO DE ORGANOS INTRAABDOMINALES
S36	TRAUMATISMO DEL APARATO URINARIO Y DE LOS ORGANOS PELVICOS
S37	TRAUMATISMO POR APLASTAMIENTO Y AMPUTACION TRAUMATICA DE PARTE DEL ABDOMEN, DE LA REGION LUMBOSACRA Y DE LA PELVIS
S38	OTROS TRAUMATISMOS Y LOS NO ESPECIFICADOS DEL ABDOMEN, DE LA REGION LUMBOSACRA Y DE LA PELVIS
S39	TRAUMATISMO SUPERFICIAL DEL HOMBRO Y DEL BRAZO
S40	HERIDA DEL HOMBRO Y DEL BRAZO
S41	FRACTURA DEL HOMBRO Y DEL BRAZO
S42	LUXACION, ESGUINCE Y TORCEDURA DE ARTICULACIONES Y LIGAMENTOS DE LA CINTURA ESCAPULAR
S43	TRAUMATISMO DE NERVIOS A NIVEL DEL HOMBRO Y DEL BRAZO
S44	TRAUMATISMO DE VASOS SANGUINEOS A NIVEL DEL HOMBRO Y DEL BRAZO
S45	TRAUMATISMO TENDON Y MUSCULO A NIVEL DEL HOMBRO Y DEL BRAZO
S46	TRAUMATISMO POR APLASTAMIENTO DEL HOMBRO Y DEL BRAZO
S47	AMPUTACION TRAUMATICA DEL HOMBRO Y DEL BRAZO
S48	OTROS TRAUMATISMOS Y LOS NO ESPECIFICADOS DEL HOMBRO Y DEL BRAZO
S49	TRAUMATISMO SUPERFICIAL DEL ANTEBRAZO Y DEL CODO
S50	HERIDA DEL ANTEBRAZO Y DEL CODO
S51	FRACTURA DEL ANTEBRAZO
S52	LUXACION, ESGUINCE Y TORCEDURA DE ARTICULACIONES Y LIGAMENTOS DEL CODO
S53	TRAUMATISMO DE NERVIOS A NIVEL DEL ANTEBRAZO
S54	TRAUMATISMO DE LOS VASOS SANGUIN A NIVEL DEL ANTEBRAZO
S55	TRAUMATISMO DEL TENDON Y MUSCULO A NIVEL DEL ANTEBRAZO
S56	TRAUMATISMO POR APLASTAMIENTO DEL ANTEBRAZO
S57	AMPUTACION TRAUMATICA DEL ANTEBRAZO
S58	OTROS TRAUMATISMOS Y LOS NO ESPECIFICADOS DEL ANTEBRAZO
S59	TRAUMATISMO SUPERFICIAL DE LA MUNECA Y DE LA MANO
S60	HERIDA DE LA MUNECA Y DE LA MANO
S61	FRACTURA A NIVEL DE LA MUNECA Y DE LA MANO
S62	LUXACION, ESGUINCE Y TORCEDURA DE ARTICULACIONES Y LIGAMENTOS A NIVEL DE LA MUNECA Y DE LA MANO
S63	TRAUMATISMO DE NERVIOS A NIVEL DE LA MUNECA Y DE LA MANO
S64	TRAUMATISMO DE LOS VASOS SANGUINEOS A NIVEL DE LA MUNECA Y DE LA MANO
S65	TRAUMATISMO DE TENDON Y MUSCULO A NIVEL DE LA MUNECA Y DE LA MANO
S66	TRAUMATISMO POR APLASTAMIENTO DE LA MUNECA Y DE LA MANO
S67	AMPUTACION TRAUMATICA DE LA MUNECA Y DE LA MANO
S68	OTROS TRAUMATISMO Y NO ESPECIFICADOS DE LA MUNECA Y DE LA MANO
S69	TRAUMATISMO SUPERFICIAL DE LA CADERA Y DEL MUSLO
S70	HERIDA DE LA CADERA Y DEL MUSLO
S71	FRACTURA DEL FEMUR
S72	LUXACION, ESGUINCE Y TORCEDURA DE LA ARTICULACION Y DE LOS LIGAMENTOS DE LA CADERA
S73	TRAUMATISMO DE NERVIOS A NIVEL DE LA CADERA Y DEL MUSLO
S74	TRAUMATISMO DE VASOS SANGUINEOS A DE LA NIVEL CADERA Y DEL MUSLO
S75	TRAUMATISMO DE TENDON Y MUSCULO A NIVEL DE LA CADERA Y DEL MUSLO
S76	TRAUMATISMO APLASTAMIENTO DE LA CADERA Y DEL MUSLO
S77	AMPUTACION TRAUMATICA DE LA CADERA Y DEL MUSLO
S78	OTROS TRAUMATISMO Y LOS NO ESPECIFICADOS DE LA CADERA Y DEL MUSLO
S79	TRAUMATISMO SUPERFICIAL DE LA PIERNA
S80	HERIDA DE LA PIERNA
S81	FRACTURA PIERNA, INCLUSIVE EL TOBILLO
S82	LUXACION, ESGUINCE Y TORCEDURA DE ARTICULACIONES Y LIGAMENTOS DE LA RODILLA
S83	TRAUMATISMO DE NERVIOS A NIVEL DE LA PIERNA
S84	TRAUMATISMO DE VASOS SANGUINEOS A NIVEL DE LA PIERNA
S85	TRAUMATISMO DE TENDON Y MUSCULO A NIVEL DE LA PIERNA
S86	TRAUMATISMO POR APLASTAMIENTO DE LA PIERNA
S87	AMPUTACION TRAUMATICA DE LA PIERNA
S88	OTROS TRAUMATISMOS Y LOS NO ESPECIFICADOS DE LA PIERNA
S89	TRAUMATISMO SUPERFICIAL DEL TOBILLO Y DEL PIE
S90	HERIDA DEL TOBILLO Y DEL PIE
S91	FRACTURA DEL PIE, EXCEPTO DEL TOBILLO
S92	LUXACION, ESGUINCE Y TORCEDURA DE ARTICULACIONES Y LIGAMENTOS DEL TOBILLO Y DEL PIE
S93	TRAUMATISMO NERVIOSO A NIVEL DEL PIE Y DEL TOBILLO
S94	TRAUMATISMO DE VASOS SANGUINEOS A NIVEL DEL TOBILLO Y DEL PIE
S95	TRAUMATISMO DE TENDON Y MUSCULO A NIVEL DEL TOBILLO Y DEL PIE
S96	TRAUMATISMO POR APLASTAMIENTO DEL PIE Y DEL TOBILLO
S97	AMPUTACION TRAUMATICA DEL PIE Y DEL TOBILLO
S98	OTROS TRAUMATISMO Y LOS NO ESPECIFICADOS DEL TOBILLO Y DEL PIE
S99	TRAUMATISMOS SUPERFICIALES QUE AFECTAN MULTIPLES REGIONES DEL CUERPO
T00	HERIDAS QUE AFECTAN MULTIPLES REGIONES DEL CUERPO
T01	FRACTURAS QUE AFECTAN MULTIPLES REGIONES DEL CUERPO
T02	LUXACIONES, TORCEDURAS Y ESGUINCES QUE AFECTAN MULTIPLES REGIONES DEL CUERPO
T03	TRAUMATISMOS POR APLASTAMIENTO QUE AFECTAN MULTIPLES REGIONES DEL CUERPO
T04	AMPUTACIONES TRAUMATICAS QUE AFECTAN MULTIPLES REGIONES DEL CUERPO
T05	OTROS TRAUMATISMOS QUE AFECTAN MULTIPLES REGIONES DEL CUERPO NO CLASIFICADAS EN OTRA PARTE
T06	TRAUMATISMOS MULTIPLES NO ESPECIFICADOS
T07	FRACTURA DE LA COLUMNA VERTEBRAL, NIVEL NO ESPECIFICADO
T08	OTROS TRAUMATISMOS DE LA COLUMNA VERTEBRAL Y DEL TRONCO, NIVEL NO ESPECIFICADO
T09	FRACTURA DE MIEMBRO SUPERIOR, NIVEL NO ESPECIFICADO
T10	OTROS TRAUMATISMOS DE MIEMBRO SUPERIOR, NIVEL NO ESPECIFICADO
T11	FRACTURA DE MIEMBRO INFERIOR, NIVEL NO ESPECIFICADO
T12	OTROS TRAUMATISMOS DE MIEMBRO INFERIOR, NIVEL NO ESPECIFICADO
T13	TRAUMATISMO DE REGIONES NO ESPECIFICADAS DEL CUERPO
T14	CUERPO EXTRANO EN PARTE EXTERNA DEL OJO
T15	CUERPO EXTRANO EN EL OIDO
T16	CUERPO EXTRANO EN LAS VIAS RESPIRATORIAS
T17	CUERPO EXTRANO EN EL TUBO DIGESTIVO
T18	CUERPO EXTRANO EN LAS VIAS GENITOURINARIAS
T19	QUEMADURA Y CORROSION DE LA CABEZA Y CUELLO
T20	QUEMADURA Y CORROSION DEL TRONCO
T21	QUEMADURA Y CORROSION DEL HOMBRO Y DEL MIEMBRO SUPERIOR, EXCEPTO DE LA MUÑECA Y DE LA MANO
T22	QUEMADURA Y CORROSION DE LA MUNECA Y DE LA MANO
T23	QUEMADURA Y CORROSION DE LA CADERA Y MIEMBRO INFERIOR, EXCEPTO TOBILLO Y PIE
T24	QUEMADURA Y CORROSION DEL TOBILLO Y DEL PIE
T25	QUEMADURA Y CORROSION LIMITADA AL OJO Y SUS ANEXOS
T26	QUEMADURA Y CORROSION DE LAS VIAS RESPIRATORIAS
T27	QUEMADURA Y CORROSION DE OTROS ORGANOS INTERNOS
T28	QUEMADURA Y CORROSION DE MULTIPLES REGIONES DEL CUERPO
T29	QUEMADURA Y CORROSION, REGION DEL CUERPO NO ESPECIFICADA
T30	QUEMADURAS CLASIFICADAS SEGUN LA EXTENSION DE LA SUPERFICIE DEL CUERPO AFECTADA
T31	CORROSIONES CLASIFICADAS SEGUN LA EXTENSION DE LA SUPERFICIE DEL CUERPO AFECTADA
T32	CONGELAMIENTO SUPERFICIAL
T33	CONGELAMIENTO CON NECROSIS TISULAR
T34	CONGELAMIENTO QUE AFECTA MULTIPLES REGIONES DEL CUERPO Y CONGELAMIENTO NO ESPECIFICADO
T35	ENVENENAMIENTO POR ANTIBIOTICOS SISTEMICOS
T36	ENVENENAMIENTO POR OTROS ANTIINFECCIOSOS Y ANTIPARASITARIOS SISTEMICOS
T37	ENVENENAMIENTO POR HORMONAS Y SUS SUSTITUTOS Y ANTAGONISTAS SINTETICOS NO CLASIFICADOS EN OTRA PARTE
T38	ENVENENAMIENTO POR ANALGESICOS NO NARCOTICOS, ANTIPIRETICOS Y ANTIRREUMATICOS
T39	ENVENENAMIENTO POR NARCOTICOS Y PSICODISLEPTICOS
T40	ENVENENAMIENTO POR ANESTESICOS Y GASES TERAPEUTICOS
T41	ENVENENAMIENTO POR ANTIEPILEPTICOS, HIPNOTICO-SEDANTES Y DROGAS ANTIPARKINSONIANAS
T42	ENVENENAMIENTO POR PSICOTROPICOS NO CLASIFICADOS EN OTRA PARTE
T43	ENVENENAMIENTO POR DROGAS QUE AFECTAN PRINCIPALMENTE EL SISTEMA NERVIOSO AUTONOMO
T44	ENVENENAMIENTO POR AGENTES PRINCIPALMENTE SISTEMICOS Y HEMATOLOGICOS NO CLASIFICADOS EN OTRA PARTE
T45	ENVENENAMIENTO POR AGENTES QUE AFECTAN PRINCIPALMENTE EL SISTEMA CARDIOVASCULAR
T46	ENVENENAMIENTO POR AGENTES QUE AFECTAN PRINCIPALMENTE EL SISTEMA GASTROINTESTINAL
T47	ENVENENAMIENTO POR AGENTES CON ACCION PRINCIPAL SOBRE LOS MUSCULOS LISOS Y ESQUELETICOS Y SOBRE EL SISTEMA RESPIRATORIO
T48	ENVENENAMIENTO POR AGENTES TOPICOS QUE AFECTAN PRINCIPALMENTE LA PIEL Y LAS MEMBRANAS MUCOSAS Y POR DROGAS OFTALMOLOGICAS OTORRINOLARINGOLOGAS Y DENTALES
T49	ENVENENAMIENTO POR DIURETICOS Y OTRAS DROGAS, MEDICAMENTOS Y SUSTANCIAS BIOLOGICAS NO ESPECIFICADAS
T50	EFECTO TOXICO DEL ALCOHOL
T51	EFECTO TOXICO DE DISOLVENTES ORGANICOS
T52	EFECTO TOXICO DE LOS DERIVADOS HALOGENADOS DE LOS HIDROCARBUROS ALIFATICOS Y AROMATICOS
T53	EFECTO TOXICO DE SUSTANCIAS CORROSIVAS
T54	EFECTO TOXICO DE DETERGENTES Y JABONES
T55	EFECTO TOXICO DE METALES
T56	EFECTO TOXICO DE OTRAS SUSTANCIAS INORGANICAS
T57	EFECTO TOXICO DEL MONOXIDO DE CARBONO
T58	EFECTO TOXICO DE OTROS GASES, HUMOS Y VAPORES
T59	EFECTO TOXICO DE PLAGUICIDAS [PESTICIDAS]
T60	EFECTO TOXICO DE SUSTANCIAS NOCIVAS INGERIDAS COMO ALIMENTOS MARINOS
T61	EFECTO TOXICO DE OTRAS SUSTANCIAS NOCIVAS INGERIDAS COMO ALIMENTO
T62	EFECTO TOXICO DEL CONTACTO CON ANIMALES VENENOSOS
T63	EFECTO TOXICO DE AFLATOXINA Y OTRAS MICOTOXINAS CONTAMINANTES DE ALIMENTOS
T64	EFECTO TOXICO DE OTRAS SUSTANCIAS Y LAS NO ESPECIFICADAS
T65	EFECTOS NO ESPECIFICADOS DE LA RADIACION
T66	EFECTOS DEL CALOR Y DE LA LUZ
T67	HIPOTERMIA
T68	OTROS EFECTOS DE LA REDUCCION DE LA TEMPERATURA
T69	EFECTOS DE LA PRESION DEL AIRE Y DEL AGUA
T70	ASFIXIA
T71	EFECTOS DE OTRAS PRIVACIONES
